spot,ville,region,url
Cap Frehel,Frehel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/cap-frehel-s1136.html
No spot name,Gavres,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/gavres-s1165.html
Fort Bloqué,Guidel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/fort-bloque-s1024.html
Plage De La Falaise,Guidel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/plage-falaise-guidel-s1025.html
Plage Du Loch,Guidel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/plage-loch-s1161.html
Boutrouilles,Kerlouan,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/boutrouilles-kerlouan-s1139.html
Penfoul,Landunvez,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/penfoul-s1141.html
Anse De Kerguélen,Larmor Plage,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/anse-kerguelen-s1163.html
Toulhars,Larmor Plage,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/toulhars-larmor-plage-s1164.html
Blancs Sablons,Le Conquet,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/blancs-sablons-conquet-s2758.html
Belle îlePlage De Donnant,Le Palais,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/belle-ile-plage-donnant-s102796.html
Dalbosc,Locmaria Plouzane,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/dalbosc-s1143.html
Le Petit Minou,Locmaria Plouzane,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/le-petit-minou-s1144.html
Porsmilin,Locmaria Plouzane,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/porsmilin-s1142.html
No spot name,Locquirec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/locquirec-s1102.html
La Torche,Penmarch,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-torche-s1040.html
Pors Carn,Penmarch,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/pors-carn-s1070.html
No spot name,Perros Guirec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/perros-guirec-s1067.html
Pors-nevez,Perros Guirec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/pors-nevez-s1071.html
Les Kaolins,Ploemeur,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/les-kaolins-s1162.html
Baie Des Trépassés,Plogoff,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/baie-trepasses-s996.html
La Guérite Tata Beach,Plouharnel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-guerite-tata-beach-s1170.html
Ste Barbe,Plouharnel,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/sainte-barbe-s1169.html
Plage De Gwendrez,Plouhinec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/plage-gwendrez-s1155.html
Penhors Plage,Plovan,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/penhors-plage-s1158.html
Palud Keristenvet,Plozevet,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/palud-keristenvet-s1156.html
Palud Gourinet,Pouldreuzic,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/palud-gourinet-s1157.html
St Tugen,Primelin,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/saint-tugen-s1151.html
La Grande Plage,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-grande-plage-quiberon-s1174.html
Penthièvre,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/penthievre-quiberon-s1171.html
Port Bara,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/port-bara-quiberon-s1173.html
Port Blanc,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/port-blanc-quiberon-s1072.html
